Chipset,Socket,Price,RAM Type
X870E,AM5,400,DDR5
X670E,AM5,300,DDR5
X870,AM5,300,DDR5
X670,AM5,250,DDR5
B850,AM5,200,DDR5
B650E,AM5,250,DDR5
B650,AM5,150,DDR5
B840,AM5,170,DDR5
A620,AM5,150,DDR5
X570,AM4,250,DDR4
X470,AM4,250,DDR4
B550,AM4,120,DDR4
B450,AM4,100,DDR4
A520,AM4,100,DDR4
Z980,LGA1851,400,DDR5
B860,LGA1851,200,DDR5
H810,LGA1851,120,DDR5
Z790,LGA1700,300,"DDR4, DDR5"
Z690,LGA1700,300,"DDR4, DDR5"
B760,LGA1700,150,"DDR4, DDR5"
B660,LGA1700,150,"DDR4, DDR5"
H610,LGA1700,100,"DDR4, DDR5"
